datetime,open,high,low,close
2025-11-06,162.35,162.94,147.68,154.01
2025-11-05,154.99,163.99,147.24,162.35
2025-11-04,166.01,168.36,146.44,154.99
2025-11-03,187.67,189.05,163.2,166.01
2025-11-02,186.26,188.26,182.04,187.67
2025-11-01,187.12,187.42,183.7,186.26
2025-10-31,184.69,190.2,183.69,187.14
2025-10-30,193.92,198.2,178.58,184.67
2025-10-29,194.21,201.71,189.55,193.95
2025-10-28,198.67,203.95,190.37,194.21
2025-10-27,200.05,205.32,197.25,198.68
2025-10-26,193.86,202.19,191.96,200.07
2025-10-25,193.62,195.29,191.26,193.87
2025-10-24,191.42,196.79,188.83,193.63
2025-10-23,180.15,193.5,179.71,191.43
2025-10-22,185.7,187.53,177.24,180.16
2025-10-21,189.79,197.81,182.66,185.71
2025-10-20,187.94,194.63,183.89,189.79
2025-10-19,187.62,192.33,183.22,187.94
2025-10-18,182.01,188.42,181.81,187.63
2025-10-17,184.85,187.58,174.1,182.05
2025-10-16,193.93,198.5,182.0,184.88
2025-10-15,202.54,209.0,192.18,193.94
2025-10-14,208.87,211.47,191.23,202.55
2025-10-13,197.2,209.48,190.34,208.87
2025-10-12,177.83,199.19,173.17,197.2
2025-10-11,188.83,191.24,172.78,177.82
2025-10-10,221.03,224.52,176.85,188.82
2025-10-09,229.1,229.73,216.75,221.03
2025-10-08,220.06,229.77,217.44,229.14
2025-10-07,232.46,235.28,219.81,220.05
2025-10-06,228.68,237.96,227.63,232.45
2025-10-05,227.95,237.27,226.62,228.68
2025-10-04,232.98,234.21,224.29,227.96
2025-10-03,234.87,237.15,227.26,232.98
2025-10-02,222.17,235.07,219.64,234.87
2025-10-01,208.75,222.88,206.32,222.15
2025-09-30,212.84,213.83,204.25,208.74
2025-09-29,210.9,214.89,204.74,212.85
2025-09-28,203.56,211.04,198.04,210.89
2025-09-27,205.26,205.56,200.0,203.56
2025-09-26,192.81,205.62,190.82,205.26
2025-09-25,211.65,212.53,191.49,192.8
2025-09-24,213.31,216.49,204.94,211.67
2025-09-23,220.56,221.79,212.46,213.31
2025-09-22,236.28,237.08,213.71,220.56
2025-09-21,239.57,241.93,235.47,236.31
2025-09-20,238.66,241.33,237.03,239.58
2025-09-19,247.59,248.63,235.24,238.67
2025-09-18,244.92,253.61,242.63,247.56
2025-09-17,237.01,246.73,232.2,244.91
2025-09-16,234.33,241.0,231.34,237.01
2025-09-15,239.85,244.09,230.18,234.35
2025-09-14,242.5,250.0,239.25,239.86
2025-09-13,242.35,244.34,235.35,242.5
2025-09-12,228.83,244.31,228.21,242.36
2025-09-11,224.13,229.05,221.78,228.85
2025-09-10,217.23,225.96,215.09,224.14
2025-09-09,214.15,219.77,210.81,217.26
2025-09-08,206.33,217.17,205.56,214.15
2025-09-07,200.19,207.95,200.13,206.34
2025-09-06,203.37,204.66,199.34,200.18
2025-09-05,202.3,210.07,201.0,203.37
2025-09-04,210.83,212.0,201.81,202.32
2025-09-03,209.63,213.0,207.43,210.83
2025-09-02,197.3,209.7,196.74,209.64
2025-09-01,200.62,204.57,194.2,197.32
2025-08-31,202.74,206.67,200.29,200.63
2025-08-30,205.1,207.04,197.57,202.74
2025-08-29,214.44,217.95,199.86,205.1
2025-08-28,202.94,216.88,201.65,214.43
2025-08-27,195.87,212.09,193.77,202.93
2025-08-26,187.21,198.1,185.61,195.87
2025-08-25,205.96,213.49,185.41,187.21
2025-08-24,204.07,211.98,201.02,205.98
2025-08-23,200.6,208.43,195.21,204.06
2025-08-22,180.26,202.34,177.24,200.62
2025-08-21,187.96,190.09,179.35,180.27
2025-08-20,176.2,188.05,176.03,187.96
2025-08-19,182.99,185.95,175.65,176.2
2025-08-18,191.13,191.45,180.05,183.02
2025-08-17,189.72,195.91,187.47,191.15
2025-08-16,185.83,190.15,185.31,189.72
2025-08-15,192.59,198.2,182.63,185.86
2025-08-14,201.6,210.0,186.81,192.61
2025-08-13,191.7,204.94,191.41,201.62
2025-08-12,174.88,193.72,173.63,191.73
2025-08-11,182.71,186.78,173.42,174.89
2025-08-10,179.96,186.18,177.49,182.7
2025-08-09,176.82,183.46,176.62,179.96
2025-08-08,175.41,179.69,173.47,176.84
2025-08-07,168.15,175.55,166.68,175.41
2025-08-06,164.07,169.99,161.15,168.14
2025-08-05,169.59,171.7,161.26,164.07
2025-08-04,162.02,169.84,161.29,169.57
2025-08-03,158.46,163.14,156.27,162.02
2025-08-02,162.64,165.21,155.75,158.46
2025-08-01,172.18,172.26,159.11,162.66
2025-07-31,177.76,182.69,171.41,172.19
2025-07-30,181.45,182.53,170.38,177.76
2025-07-29,183.1,186.7,178.19,181.46
