,,open,high,low,close
BTC/USD,2025-11-06 17:55:00,101314.99000,101438.67000,101308.00000,101397.01000
BTC/USD,2025-11-06 17:50:00,101234.38000,101316.68000,101210.01000,101314.99000
BTC/USD,2025-11-06 17:45:00,101159.99000,101238.55000,101060.31000,101234.38000
BTC/USD,2025-11-06 17:40:00,101086.23000,101170.45000,101020.30000,101159.99000
BTC/USD,2025-11-06 17:35:00,101195.98000,101198.70000,101011.68000,101086.23000
BTC/USD,2025-11-06 17:30:00,101094.08000,101240.56000,101034.98000,101195.98000
BTC/USD,2025-11-06 17:25:00,101249.97000,101249.97000,100990.00000,101096.00000
BTC/USD,2025-11-06 17:20:00,101150.18000,101283.61000,101103.57000,101249.97000
BTC/USD,2025-11-06 17:15:00,100952.52000,101157.09000,100952.52000,101150.18000
BTC/USD,2025-11-06 17:10:00,101197.91000,101197.92000,100952.52000,100952.52000
BTC/USD,2025-11-06 17:05:00,101250.27000,101330.15000,101190.66000,101197.91000
BTC/USD,2025-11-06 17:00:00,101059.01000,101266.00000,101021.97000,101250.26000
BTC/USD,2025-11-06 16:55:00,101141.56000,101171.50000,101004.60000,101059.02000
BTC/USD,2025-11-06 16:50:00,100802.00000,101175.37000,100712.34000,101141.56000
BTC/USD,2025-11-06 16:45:00,100950.00000,100971.22000,100792.89000,100802.00000
BTC/USD,2025-11-06 16:40:00,100877.46000,101103.00000,100846.31000,100950.01000
BTC/USD,2025-11-06 16:35:00,100869.50000,100928.10000,100772.89000,100877.45000
BTC/USD,2025-11-06 16:30:00,100829.96000,100878.44000,100753.00000,100869.50000
BTC/USD,2025-11-06 16:25:00,100649.44000,100852.27000,100531.19000,100829.97000
BTC/USD,2025-11-06 16:20:00,100617.96000,100651.99000,100521.51000,100649.44000
BTC/USD,2025-11-06 16:15:00,100562.49000,100649.82000,100482.01000,100617.96000
BTC/USD,2025-11-06 16:10:00,100765.61000,100822.88000,100517.98000,100561.99000
BTC/USD,2025-11-06 16:05:00,100660.84000,100811.85000,100528.37000,100765.61000
BTC/USD,2025-11-06 16:00:00,100857.04000,100966.41000,100648.35000,100660.84000
BTC/USD,2025-11-06 15:55:00,100850.86000,101047.63000,100774.54000,100860.00000
